utc_timestamp,cet_cest_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine,DE_KN_residential4_dishwasher,consumption
2014-12-11T17:00:00Z,2014-12-11T18:00:00+0100,,0,0.002,,,,0.002
2014-12-11T18:00:00Z,2014-12-11T19:00:00+0100,0.063,0.003,0.024,,0,,0.09
2014-12-11T19:00:00Z,2014-12-11T20:00:00+0100,0.132,0.005,0.064,,0,,0.201
2014-12-11T20:00:00Z,2014-12-11T21:00:00+0100,0.2,0.008,0.102,,0,,0.31
2014-12-11T21:00:00Z,2014-12-11T22:00:00+0100,0.269,0.01,0.106,,0,,0.385
2014-12-11T22:00:00Z,2014-12-11T23:00:00+0100,0.31,0.013,0.146,,0,,0.469
2014-12-11T23:00:00Z,2014-12-12T00:00:00+0100,0.369,0.016,0.185,,0,,0.57
2014-12-12T00:00:00Z,2014-12-12T01:00:00+0100,0.44,0.018,0.201,,0,,0.659
2014-12-12T01:00:00Z,2014-12-12T02:00:00+0100,0.507,0.021,0.228,,0,,0.756
2014-12-12T02:00:00Z,2014-12-12T03:00:00+0100,0.579,0.023,0.268,,0,,0.87
2014-12-12T03:00:00Z,2014-12-12T04:00:00+0100,0.647,0.026,0.3,,0.001,,0.974
2014-12-12T04:00:00Z,2014-12-12T05:00:00+0100,0.717,0.028,0.309,,0.001,,1.055
2014-12-12T05:00:00Z,2014-12-12T06:00:00+0100,0.789,0.031,0.349,,0.001,,1.17
2014-12-12T06:00:00Z,2014-12-12T07:00:00+0100,0.857,0.079,0.388,,0.001,,1.325
2014-12-12T07:00:00Z,2014-12-12T08:00:00+0100,0.932,1.293,0.394,,0.001,,2.62
2014-12-12T08:00:00Z,2014-12-12T09:00:00+0100,1.02,1.298,0.43,,0.001,,2.749
2014-12-12T09:00:00Z,2014-12-12T10:00:00+0100,1.139,1.3,0.469,,0.001,,2.909
2014-12-12T10:00:00Z,2014-12-12T11:00:00+0100,1.257,1.303,0.491,,0.001,,3.052
2014-12-12T11:00:00Z,2014-12-12T12:00:00+0100,1.368,1.305,0.51,,0.001,,3.184
2014-12-12T12:00:00Z,2014-12-12T13:00:00+0100,1.47,1.308,0.55,,0.001,,3.329
2014-12-12T13:00:00Z,2014-12-12T14:00:00+0100,1.544,1.31,0.586,,0.001,,3.441
2014-12-12T14:00:00Z,2014-12-12T15:00:00+0100,1.617,1.313,0.591,,0.001,,3.522
2014-12-12T15:00:00Z,2014-12-12T16:00:00+0100,1.689,1.316,0.63,,0.001,,3.636
2014-12-12T16:00:00Z,2014-12-12T17:00:00+0100,1.755,1.318,0.67,,0.001,,3.744
2014-12-12T17:00:00Z,2014-12-12T18:00:00+0100,1.823,1.331,0.678,,0.001,,3.833
2014-12-12T18:00:00Z,2014-12-12T19:00:00+0100,1.893,2.498,0.711,,0.001,,5.103
2014-12-12T19:00:00Z,2014-12-12T20:00:00+0100,1.962,2.522,0.752,,0.001,,5.237
2014-12-12T20:00:00Z,2014-12-12T21:00:00+0100,2.029,2.525,0.764,,0.001,,5.319
2014-12-12T21:00:00Z,2014-12-12T22:00:00+0100,2.098,2.527,0.794,,0.001,,5.42
2014-12-12T22:00:00Z,2014-12-12T23:00:00+0100,2.139,2.53,0.835,,0.001,,5.505
2014-12-12T23:00:00Z,2014-12-13T00:00:00+0100,2.198,2.532,0.87,,0.001,,5.601
2014-12-13T00:00:00Z,2014-12-13T01:00:00+0100,2.269,2.535,0.878,,0.001,,5.683
2014-12-13T01:00:00Z,2014-12-13T02:00:00+0100,2.334,2.537,0.919,,0.001,,5.791
2014-12-13T02:00:00Z,2014-12-13T03:00:00+0100,2.405,2.54,0.958,,0.001,,5.904
2014-12-13T03:00:00Z,2014-12-13T04:00:00+0100,2.471,2.542,0.962,,0.001,,5.976
2014-12-13T04:00:00Z,2014-12-13T05:00:00+0100,2.541,2.545,1.003,,0.002,,6.091
2014-12-13T05:00:00Z,2014-12-13T06:00:00+0100,2.612,2.548,1.044,,0.002,,6.206
2014-12-13T06:00:00Z,2014-12-13T07:00:00+0100,2.681,2.55,1.046,,0.002,,6.279
2014-12-13T07:00:00Z,2014-12-13T08:00:00+0100,2.751,2.553,1.087,,0.002,,6.393
